index,name
0,GM_Anterior_intra-parietal_sulcus_hIP1_L
1,GM_Anterior_intra-parietal_sulcus_hIP1_R
2,GM_Anterior_intra-parietal_sulcus_hIP2_L
3,GM_Anterior_intra-parietal_sulcus_hIP2_R
4,GM_Anterior_intra-parietal_sulcus_hIP3_L
5,GM_Anterior_intra-parietal_sulcus_hIP3_R
6,GM_Amygdala_centromedial_group_L
7,GM_Amygdala_centromedial_group_R
8,GM_Amygdala_laterobasal_group_L
9,GM_Amygdala_laterobasal_group_R
10,GM_Amygdala_superficial_group_L
11,GM_Amygdala_superficial_group_R
12,GM_Broca's_area_BA44_L
13,GM_Broca's_area_BA44_R
14,GM_Broca's_area_BA45_L
15,GM_Broca's_area_BA45_R
16,GM_Hippocampus_cornu_ammonis_L
17,GM_Hippocampus_cornu_ammonis_R
18,GM_Hippocampus_entorhinal_cortex_L
19,GM_Hippocampus_entorhinal_cortex_R
20,GM_Hippocampus_dentate_gyrus_L
21,GM_Hippocampus_dentate_gyrus_R
22,GM_Hippocampus_hippocampal-amygdaloid_transition_area_L
23,GM_Hippocampus_hippocampal-amygdaloid_transition_area_R
24,GM_Hippocampus_subiculum_L
25,GM_Hippocampus_subiculum_R
26,GM_Inferior_parietal_lobule_PF_L
27,GM_Inferior_parietal_lobule_PF_R
28,GM_Inferior_parietal_lobule_PFcm_L
29,GM_Inferior_parietal_lobule_PFcm_R
30,GM_Inferior_parietal_lobule_PFm_L
31,GM_Inferior_parietal_lobule_PFm_R
32,GM_Inferior_parietal_lobule_PFop_L
33,GM_Inferior_parietal_lobule_PFop_R
34,GM_Inferior_parietal_lobule_PFt_L
35,GM_Inferior_parietal_lobule_PFt_R
36,GM_Inferior_parietal_lobule_Pga_L
37,GM_Inferior_parietal_lobule_Pga_R
38,GM_Inferior_parietal_lobule_PGp_L
39,GM_Inferior_parietal_lobule_PGp_R
40,GM_Primary_auditory_cortex_TE1.0_L
41,GM_Primary_auditory_cortex_TE1.0_R
42,GM_Primary_auditory_cortex_TE1.1_L
43,GM_Primary_auditory_cortex_TE1.1_R
44,GM_Primary_auditory_cortex_TE1.2_L
45,GM_Primary_auditory_cortex_TE1.2_R
46,GM_Primary_motor_cortex_BA4a_L
47,GM_Primary_motor_cortex_BA4a_R
48,GM_Primary_motor_cortex_BA4p_L
49,GM_Primary_motor_cortex_BA4p_R
50,GM_Primary_somatosensory_cortex_BA1_L
51,GM_Primary_somatosensory_cortex_BA1_R
52,GM_Primary_somatosensory_cortex_BA2_L
53,GM_Primary_somatosensory_cortex_BA2_R
54,GM_Primary_somatosensory_cortex_BA3a_L
55,GM_Primary_somatosensory_cortex_BA3a_R
56,GM_Primary_somatosensory_cortex_BA3b_L
57,GM_Primary_somatosensory_cortex_BA3b_R
58,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP1_L
59,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP1_R
60,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP2_L
61,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP2_R
62,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP3_L
63,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP3_R
64,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP4_L
65,GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP4_R
66,GM_Superior_parietal_lobule_5Ci_L
67,GM_Superior_parietal_lobule_5Ci_R
68,GM_Superior_parietal_lobule_5L_L
69,GM_Superior_parietal_lobule_5L_R
70,GM_Superior_parietal_lobule_5M_L
71,GM_Superior_parietal_lobule_5M_R
72,GM_Superior_parietal_lobule_7A_L
73,GM_Superior_parietal_lobule_7A_R
74,GM_Superior_parietal_lobule_7M_L
75,GM_Superior_parietal_lobule_7M_R
76,GM_Superior_parietal_lobule_7PC_L
77,GM_Superior_parietal_lobule_7PC_R
78,GM_Superior_parietal_lobule_7P_L
79,GM_Superior_parietal_lobule_7P_R
80,GM_Visual_cortex_V1_BA17_L
81,GM_Visual_cortex_V1_BA17_R
82,GM_Visual_cortex_V2_BA18_L
83,GM_Visual_cortex_V2_BA18_R
84,GM_Visual_cortex_V3V_L
85,GM_Visual_cortex_V3V_R
86,GM_Visual_cortex_V4_L
87,GM_Visual_cortex_V4_R
88,GM_Visual_cortex_V5_L
89,GM_Visual_cortex_V5_R
90,GM_Premotor_cortex_BA6_L
91,GM_Premotor_cortex_BA6_R
92,WM_Acoustic_radiation_R
93,WM_Acoustic_radiation_L
94,WM_Callosal_body
95,WM_Cingulum_R
96,WM_Cingulum_L
97,WM_Corticospinal_tract_R
98,WM_Corticospinal_tract_L
99,WM_Fornix
100,WM_Inferior_occipito-frontal_fascicle_R
101,WM_Inferior_occipito-frontal_fascicle_L
102,GM_Lateral_geniculate_body_R
103,GM_Lateral_geniculate_body_L
104,GM_Mamillary_body
105,GM_Medial_geniculate_body_R
106,GM_Medial_geniculate_body_L
107,WM_Optic_radiation_R
108,WM_Optic_radiation_L
109,WM_Superior_longitudinal_fascicle_R
110,WM_Superior_longitudinal_fascicle_L
111,WM_Superior_occipito-frontal_fascicle_R
112,WM_Superior_occipito-frontal_fascicle_L
113,WM_Uncinate_fascicle_R
114,WM_Uncinate_fascicle_L
115,GM_Insula_Id1_L
116,GM_Insula_Id1_R
117,GM_Insula_Ig1_L
118,GM_Insula_Ig1_R
119,GM_Insula_Ig2_L
120,GM_Insula_Ig2_R
