index,name
0,Left_Frontal_Pole
1,Left_Insular_Cortex
2,Left_Superior_Frontal_Gyrus
3,Left_Middle_Frontal_Gyrus
4,Left_Inferior_Frontal_Gyrus_pars_triangularis
5,Left_Inferior_Frontal_Gyrus_pars_opercularis
6,Left_Precentral_Gyrus
7,Left_Temporal_Pole
8,Left_Superior_Temporal_Gyrus_anterior_division
9,Left_Superior_Temporal_Gyrus_posterior_division
10,Left_Middle_Temporal_Gyrus_anterior_division
11,Left_Middle_Temporal_Gyrus_posterior_division
12,Left_Middle_Temporal_Gyrus_temporooccipital_part
13,Left_Inferior_Temporal_Gyrus_anterior_division
14,Left_Inferior_Temporal_Gyrus_posterior_division
15,Left_Inferior_Temporal_Gyrus_temporooccipital_part
16,Left_Postcentral_Gyrus
17,Left_Superior_Parietal_Lobule
18,Left_Supramarginal_Gyrus_anterior_division
19,Left_Supramarginal_Gyrus_posterior_division
20,Left_Angular_Gyrus
21,Left_Lateral_Occipital_Cortex_superior_division
22,Left_Lateral_Occipital_Cortex_inferior_division
23,Left_Intracalcarine_Cortex
24,Left_Frontal_Medial_Cortex
25,Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)
26,Left_Subcallosal_Cortex
27,Left_Paracingulate_Gyrus
28,Left_Cingulate_Gyrus_anterior_division
29,Left_Cingulate_Gyrus_posterior_division
30,Left_Precuneous_Cortex
31,Left_Cuneal_Cortex
32,Left_Frontal_Orbital_Cortex
33,Left_Parahippocampal_Gyrus_anterior_division
34,Left_Parahippocampal_Gyrus_posterior_division
35,Left_Lingual_Gyrus
36,Left_Temporal_Fusiform_Cortex_anterior_division
37,Left_Temporal_Fusiform_Cortex_posterior_division
38,Left_Temporal_Occipital_Fusiform_Cortex
39,Left_Occipital_Fusiform_Gyrus
40,Left_Frontal_Operculum_Cortex
41,Left_Central_Opercular_Cortex
42,Left_Parietal_Operculum_Cortex
43,Left_Planum_Polare
44,Left_Heschl's_Gyrus_(includes_H1_and_H2)
45,Left_Planum_Temporale
46,Left_Supracalcarine_Cortex
47,Left_Occipital_Pole
48,Right_Frontal_Pole
49,Right_Insular_Cortex
50,Right_Superior_Frontal_Gyrus
51,Right_Middle_Frontal_Gyrus
52,Right_Inferior_Frontal_Gyrus_pars_triangularis
53,Right_Inferior_Frontal_Gyrus_pars_opercularis
54,Right_Precentral_Gyrus
55,Right_Temporal_Pole
56,Right_Superior_Temporal_Gyrus_anterior_division
57,Right_Superior_Temporal_Gyrus_posterior_division
58,Right_Middle_Temporal_Gyrus_anterior_division
59,Right_Middle_Temporal_Gyrus_posterior_division
60,Right_Middle_Temporal_Gyrus_temporooccipital_part
61,Right_Inferior_Temporal_Gyrus_anterior_division
62,Right_Inferior_Temporal_Gyrus_posterior_division
63,Right_Inferior_Temporal_Gyrus_temporooccipital_part
64,Right_Postcentral_Gyrus
65,Right_Superior_Parietal_Lobule
66,Right_Supramarginal_Gyrus_anterior_division
67,Right_Supramarginal_Gyrus_posterior_division
68,Right_Angular_Gyrus
69,Right_Lateral_Occipital_Cortex_superior_division
70,Right_Lateral_Occipital_Cortex_inferior_division
71,Right_Intracalcarine_Cortex
72,Right_Frontal_Medial_Cortex
73,Right_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)
74,Right_Subcallosal_Cortex
75,Right_Paracingulate_Gyrus
76,Right_Cingulate_Gyrus_anterior_division
77,Right_Cingulate_Gyrus_posterior_division
78,Right_Precuneous_Cortex
79,Right_Cuneal_Cortex
80,Right_Frontal_Orbital_Cortex
81,Right_Parahippocampal_Gyrus_anterior_division
82,Right_Parahippocampal_Gyrus_posterior_division
83,Right_Lingual_Gyrus
84,Right_Temporal_Fusiform_Cortex_anterior_division
85,Right_Temporal_Fusiform_Cortex_posterior_division
86,Right_Temporal_Occipital_Fusiform_Cortex
87,Right_Occipital_Fusiform_Gyrus
88,Right_Frontal_Operculum_Cortex
89,Right_Central_Opercular_Cortex
90,Right_Parietal_Operculum_Cortex
91,Right_Planum_Polare
92,Right_Heschl's_Gyrus_(includes_H1_and_H2)
93,Right_Planum_Temporale
94,Right_Supracalcarine_Cortex
95,Right_Occipital_Pole
96,Left_Lateral_Ventrical
97,Left_Thalamus
98,Left_Caudate
99,Left_Putamen
100,Left_Pallidum
101,Brain-Stem
102,Left_Hippocampus
103,Left_Amygdala
104,Left_Accumbens
105,Right_Lateral_Ventricle
106,Right_Thalamus
107,Right_Caudate
108,Right_Putamen
109,Right_Pallidum
110,Right_Hippocampus
111,Right_Amygdala
112,Right_Accumbens
