index,name
1,Left_Caudal_Medial_Visual_Cortex(BA_17/18)
2,Left_Lateral_Visual_Cortex(BA_37/19/18)
3,Left_Superior_Visual_Cortex(BA_19/39)
4,Left_Cuneus(BA_18/19)
5,Left_Rostral_Medial_Visual_Cortex(BA_18/19)
6,Left_Medial_Inferior_Temporal_Cortex(BA_36/37/20)
7,Left_Rostral_Inferior_Temporal_Cortex(BA_20)
8,Left_Caudal_Middle_Temporal_Cortex(BA_21/22/39)
9,Left_Caudal_Superior_Temporal_Cortex(BA_22/41/42)
10,Left_Rostral_Superior_Temporal_Cortex(BA_21/22/38)
11,Left_Rostral_Middle_Temporal_Cortex(BA_20/21/38)
12,Left_Isthmus_Cingulate_Cortex(BA_30)
13,Left_Ventral_Inferior_Parietal_Cortex(BA_40)
14,Left_Dorsal_Inferior_Parietal_Cortex(BA_39/40/7)
15,Left_Superior_Parietal_Cortex(BA_7)
16,Left_Medial_Superior_Parietal_Cortex(BA_7)
17,Left_Medial_Parietal_Cortex(BA_31)
18,Left_Posterior_Cingulate_Cortex(BA_23)
19,Left_Ventral_Somatosensory_Cortex(BA_1/2/3)
20,Left_Dorsolateral_Somatosensory_Cortex(BA_1/2/3)
21,Left_Dorsomedial_Somatosensory_Cortex(BA_1/2/3/5/31)
22,Left_Ventral_Motor_Cortex(BA_4/6)
23,Left_Dorsolateral_Motor_Cortex(BA_4)
24,Left_Dorsomedial_Motor_Cortex(BA_4)
25,Left_Rostral_Ventral_Premotor_Cortex(BA_44/45)
26,Left_Dorsolateral_Premotor_Cortex(BA_6/8)
27,Left_Dorsomedial_Premotor_Cortex(BA_6)
28,Left_Caudal_Dorsolateral_Prefrontal_Cortex(BA_45/46/9)
29,Left_Caudal_Dorsomedial_Prefrontal_Cortex(BA_6/8)
30,Left_Mid_Cingulate_Cortex(BA_24)
31,Left_Rostral_Ventrolateral_Prefrontal_Cortex(BA_47/45)
32,Left_Rostral_Dorsolateral_Inferior_Prefrontal_Cortex(BA_10/46)
33,Left_Rostral_Dorsolateral_Superior_Prefrontal_Cortex(BA_10/9)
34,Left_Rostral_Dorsal_Prefrontal_Cortex(BA_10/9/8)
35,Left_Rostral_Medial_Prefrontal_Cortex(BA_9/8)
36,Left_Ventrolateral_Orbito_Frontal_Cortex(BA_11/47)
37,Left_Ventral_Orbito_Frontal_Cortex(BA_11/47)
38,Left_Ventromedial_Orbito_Frontal_Cortex(BA_10/11)
39,Left_Ventromedial_Prefrontal_Cortex(BA_32/10/11)
40,Left_Anterior_Cingulate_Cortex(BA_24/32)
41,Left_Insular_Cortex(BA_13)
101,Right_Caudal_Medial_Visual_Cortex(BA_17/18)
102,Right_Lateral_Visual_Cortex(BA_37/19/18)
103,Right_Superior_Visual_Cortex(BA_19/39)
104,Right_Cuneus(BA_18/19)
105,Right_Rostral_Medial_Visual_Cortex(BA_18/19)
106,Right_Medial_Inferior_Temporal_Cortex(BA_36/37/20)
107,Right_Rostral_Inferior_Temporal_Cortex(BA_20)
108,Right_Caudal_Middle_Temporal_Cortex(BA_21/22/39)
109,Right_Caudal_Superior_Temporal_Cortex(BA_22/41/42)
110,Right_Rostral_Superior_Temporal_Cortex(BA_21/22/38)
111,Right_Rostral_Middle_Temporal_Cortex(BA_20/21/38)
112,Right_Isthmus_Cingulate_Cortex(BA_30)
113,Right_Ventral_Inferior_Parietal_Cortex(BA_40)
114,Right_Dorsal_Inferior_Parietal_Cortex(BA_39/40/7)
115,Right_Superior_Parietal_Cortex(BA_7)
116,Right_Medial_Superior_Parietal_Cortex(BA_7)
117,Right_Medial_Parietal_Cortex(BA_31)
118,Right_Posterior_Cingulate_Cortex(BA_23)
119,Right_Ventral_Somatosensory_Cortex(BA_1/2/3)
120,Right_Dorsolateral_Somatosensory_Cortex(BA_1/2/3)
121,Right_Dorsomedial_Somatosensory_Cortex(BA_1/2/3/5/31)
122,Right_Ventral_Motor_Cortex(BA_4/6)
123,Right_Dorsolateral_Motor_Cortex(BA_4)
124,Right_Dorsomedial_Motor_Cortex(BA_4)
125,Right_Rostral_Ventral_Premotor_Cortex(BA_44/45)
126,Right_Dorsolateral_Premotor_Cortex(BA_6/8)
127,Right_Dorsomedial_Premotor_Cortex(BA_6)
128,Right_Caudal_Dorsolateral_Prefrontal_Cortex(BA_45/46/9)
129,Right_Caudal_Dorsomedial_Prefrontal_Cortex(BA_6/8)
130,Right_Mid_Cingulate_Cortex(BA_24)
131,Right_Rostral_Ventrolateral_Prefrontal_Cortex(BA_47/45)
132,Right_Rostral_Dorsolateral_Inferior_Prefrontal_Cortex(BA_10/46)
133,Right_Rostral_Dorsolateral_Superior_Prefrontal_Cortex(BA_10/9)
134,Right_Rostral_Dorsal_Prefrontal_Cortex(BA_10/9/8)
135,Right_Rostral_Medial_Prefrontal_Cortex(BA_9/8)
136,Right_Ventrolateral_Orbito_Frontal_Cortex(BA_11/47)
137,Right_Ventral_Orbito_Frontal_Cortex(BA_11/47)
138,Right_Ventromedial_Orbito_Frontal_Cortex(BA_10/11)
139,Right_Ventromedial_Prefrontal_Cortex(BA_32/10/11)
140,Right_Anterior_Cingulate_Cortex(BA_24/32)
141,Right_Insular_Cortex(BA_13)
210,Left_Thalamus
211,Left_Caudate
212,Left_Puttamen
213,Left_Pallidum
217,Left_Hippocampus
218,Left_Amygdala
226,Left_Accumbens
249,Right_Thalamus
250,Right_Caudate
251,Right_Puttamen
252,Right_Pallidum
253,Right_Hippocampus
254,Right_Amygdala
258,Right_Accumbens
