index,name
0,Background
1,Brodmann_area_20
2,Brodmann_area_38
3,Brodmann_area_36
4,Brodmann_area_21
5,Brodmann_area_28
6,Brodmann_area_11
7,Dentate
8,Brodmann_area_35
9,Brodmann_area_47
10,Hippocampus
11,Brodmann_area_34
12,Amygdala
13,Brodmann_area_18
14,Brodmann_area_37
15,Brodmann_area_25
16,Brodmann_area_17
17,Brodmann_area_19
18,Optic_Tract
19,Hypothalamus
20,Brodmann_area_13
21,Substania_Nigra
22,Red_Nucleus
23,Caudate_Tail
24,Mammillary_Body
25,Putamen
26,Brodmann_area_32
27,Brodmann_area_10
28,Brodmann_area_30
29,Brodmann_area_27
30,Medial_Geniculum_Body
31,Brodmann_area_22
32,Lateral_Globus_Pallidus
33,Subthalamic_Nucleus
34,Medial_Globus_Pallidus
35,Caudate_Head
36,Brodmann_area_24
37,Lateral_Geniculum_Body
38,Anterior_Commissure
39,Corpus_Callosum
40,Ventral_Posterior_Lateral_Nucleus
41,Ventral_Posterior_Medial_Nucleus
42,Brodmann_area_45
43,Brodmann_area_46
44,Pulvinar
45,Medial_Dorsal_Nucleus
46,Ventral_Lateral_Nucleus
47,Ventral_Anterior_Nucleus
48,Brodmann_area_29
49,Brodmann_area_41
50,Brodmann_area_42
51,Brodmann_area_6
52,Anterior_Nucleus
53,Brodmann_area_44
54,Caudate_Body
55,Brodmann_area_39
56,Brodmann_area_23
57,Lateral_Posterior_Nucleus
58,Brodmann_area_43
59,Brodmann_area_31
60,Brodmann_area_40
61,Lateral_Dorsal_Nucleus
62,Midline_Nucleus
63,Brodmann_area_4
64,Brodmann_area_9
65,Brodmann_area_33
66,Brodmann_area_2
67,Brodmann_area_1
68,Brodmann_area_3
69,Brodmann_area_7
70,Brodmann_area_8
71,Brodmann_area_5
