index,name
0,Background
1,Inferior_Semi-Lunar_Lobule
2,Cerebellar_Tonsil
3,Inferior_Temporal_Gyrus
4,Uncus
5,Middle_Temporal_Gyrus
6,Superior_Temporal_Gyrus
7,Sub-Gyral
8,Pyramis
9,Uvula
10,Uvula_of_Vermis
11,Fourth_Ventricle
12,Tuber
13,Pyramis_of_Vermis
14,Nodule
15,Culmen
16,Orbital_Gyrus
17,Tuber_of_Vermis
18,Fusiform_Gyrus
19,Parahippocampal_Gyrus
20,Rectal_Gyrus
21,Superior_Frontal_Gyrus
22,Declive
23,Declive_of_Vermis
24,Fastigium
25,Lateral_Ventricle
26,Inferior_Frontal_Gyrus
27,Middle_Frontal_Gyrus
28,Cerebellar_Lingual
29,Medial_Frontal_Gyrus
30,Lingual_Gyrus
31,Inferior_Occipital_Gyrus
32,Subcallosal_Gyrus
33,Middle_Occipital_Gyrus
34,Culmen_of_Vermis
35,Extra-Nuclear
36,Caudate
37,Third_Ventricle
38,Anterior_Cingulate
39,Lentiform_Nucleus
40,Thalamus
41,Insula
42,Claustrum
43,Cuneus
44,Posterior_Cingulate
45,Precentral_Gyrus
46,Transverse_Temporal_Gyrus
47,Postcentral_Gyrus
48,Precuneus
49,Superior_Occipital_Gyrus
50,Supramarginal_Gyrus
51,Inferior_Parietal_Lobule
52,Cingulate_Gyrus
53,Angular_Gyrus
54,Superior_Parietal_Lobule
55,Paracentral_Lobule
